CP_S,177.800,293.230,108.500,27.0
CP_P,64.905,293.133,108.000,27.0
ARC,61.984,292.165,108.000,27.0
CP_P,61.548,288.916,108.000,27.0
ARC,61.008,284.561,108.000,27.0
CP_P,55.643,283.516,108.000,27.0
ARC,53.957,283.943,108.000,27.0
CP_P,52.682,281.878,108.000,27.0
CP_P,52.861,224.675,108.500,27.0
CP_P,49.752,221.669,108.500,27.0
CP_P,50.008,178.051,108.700,27.0
ARC,50.998,176.282,109.000,27.0
CP_P,52.599,176.170,109.000,27.0
ARC,55.894,169.437,109.000,27.0
CP_P,47.906,168.632,109.000,27.0
ARC,43.110,170.953,109.000,27.0
CP_P,40.342,167.306,109.000,27.0
CP_P,40.423,150.198,109.000,27.0
ARC,42.101,147.115,109.000,27.0
CP_P,45.036,145.958,109.000,27.0
ARC,48.269,141.972,109.000,27.0
CP_P,44.487,139.048,109.000,27.0
ARC,42.157,138.695,109.000,27.0
CP_P,40.301,135.295,109.000,27.0
CP_P,40.571,121.656,109.000,27.0
ARC,42.918,117.914,109.000,27.0
CP_P,48.169,117.214,109.000,27.0
CP_P,48.169,117.214,109.000,27.0
ARC,52.144,117.672,109.000,27.0
CP_P,54.745,113.888,109.000,27.0
ARC,56.372,111.666,109.000,27.0
CP_P,61.231,110.761,109.000,27.0
CP_P,125.810,109.432,109.000,27.0
ARC,127.367,109.868,109.000,27.0
CP_P,127.650,111.922,109.000,27.0
ARC,132.903,118.589,109.000,27.0
CP_P,136.200,112.784,109.000,27.0
ARC,137.298,110.214,109.000,27.0
CP_P,139.928,109.661,109.000,27.0
ARC,185.147,137.552,109.000,27.0
CP_P,196.056,173.270,109.000,27.0
CP_P,196.292,196.314,109.000,27.0
ARC,196.007,197.643,109.000,27.0
CP_P,192.241,199.799,109.000,27.0
ARC,186.664,205.166,109.000,27.0
CP_P,192.610,209.393,109.000,27.0
ARC,195.800,211.116,109.000,27.0
CP_P,196.334,213.732,109.000,27.0
CP_P,196.059,277.964,109.000,27.0
ARC,195.844,281.916,109.000,27.0
CP_P,193.580,284.874,109.000,27.0
ARC,189.655,284.617,108.500,27.0
CP_P,187.955,289.415,108.500,27.0
ARC,184.319,290.187,108.500,27.0
CP_P,182.071,293.272,108.500,27.0
CP_E,168.618,293.286,108.500,-
